RMSE,Rsquared,MAE,Model
5.03851879785129,NA,4.11664739884411,avNNet
4.98349044885455,NA,4.03215297450444,avNNet
5.28031819375244,NA,4.33261363636381,avNNet
5.20607446464654,NA,4.28407932011331,avNNet
5.26147444480476,NA,4.29886956521747,avNNet
5.2147811205104,NA,4.19415730337086,avNNet
5.22622537227308,NA,4.20889552238793,avNNet
5.18205135724385,NA,4.22146788990802,avNNet
5.56544477147359,NA,4.6733429394813,avNNet
5.19155347391578,NA,4.23609890109862,avNNet
5.37447703859597,NA,4.39186246418335,avNNet
5.20790341962759,NA,4.28371830985888,avNNet
5.04162388024559,NA,4.10000000000012,avNNet
5.38272335753955,NA,4.40622589531682,avNNet
5.52100509579187,NA,4.55311475409848,avNNet
5.22958752812166,NA,4.27769679300278,avNNet
5.13428147858782,NA,4.16265753424673,avNNet
5.32476977895267,NA,4.37190201729127,avNNet
5.35575253910374,NA,4.39500000000036,avNNet
5.34205646853528,NA,4.374072022161,avNNet
5.48140888484265,NA,4.5577286135693,avNNet
5.28955010760926,NA,4.32017045454557,avNNet
5.4175619919815,NA,4.43051575931211,avNNet
5.42358124485592,NA,4.41474860335187,avNNet
5.29704516359649,NA,4.37164345403887,avNNet
5.03851879785129,NA,4.11664739884411,nnet
4.98349044885455,NA,4.03215297450444,nnet
5.28031819375244,NA,4.33261363636381,nnet
5.20607446464654,NA,4.28407932011331,nnet
5.26147444480476,NA,4.29886956521747,nnet
5.2147811205104,NA,4.19415730337086,nnet
5.22622537227308,NA,4.20889552238793,nnet
5.18205135724385,NA,4.22146788990802,nnet
5.56544477147359,NA,4.6733429394813,nnet
5.19155347391578,NA,4.23609890109862,nnet
5.37447703859597,NA,4.39186246418335,nnet
5.20790341962759,NA,4.28371830985888,nnet
5.04162388024559,NA,4.10000000000012,nnet
5.38272335753955,NA,4.40622589531682,nnet
5.52100509579187,NA,4.55311475409848,nnet
5.22958752812166,NA,4.27769679300278,nnet
5.13428147858782,NA,4.16265753424673,nnet
5.32476977895267,NA,4.37190201729127,nnet
5.35575253910374,NA,4.39500000000036,nnet
5.34205646853528,NA,4.374072022161,nnet
5.48140888484265,NA,4.5577286135693,nnet
5.28955010760926,NA,4.32017045454557,nnet
5.4175619919815,NA,4.43051575931211,nnet
5.42358124485592,NA,4.41474860335187,nnet
5.29704516359649,NA,4.37164345403887,nnet
1.96050238377526,0.695039654912246,1.44887176083757,bagEarth
1.86679259400608,0.711847723085908,1.36042868211963,bagEarth
1.79293898639825,0.731284605091472,1.34511468361622,bagEarth
1.82776239189295,0.725691788064302,1.3695998243716,bagEarth
1.69385886632067,0.7678618282391,1.28828634645841,bagEarth
1.83001312092222,0.727799464552016,1.3588070614925,bagEarth
1.77133486691801,0.76232494690452,1.34697628354662,bagEarth
1.80354680781993,0.738308155178675,1.3344144694647,bagEarth
1.64933818834012,0.772767676239684,1.23710709044634,bagEarth
1.79034431947089,0.734629346445429,1.32996990948319,bagEarth
1.77850037387526,0.757090220777019,1.33405451186785,bagEarth
1.8493202726175,0.699142135084954,1.36641893357508,bagEarth
1.89047029021687,0.703207923150234,1.41907624190564,bagEarth
1.87328314051269,0.690663610185603,1.46977274189756,bagEarth
1.6230067826494,0.766828973389062,1.23941008642648,bagEarth
1.75621514545103,0.75038788770947,1.30372204882383,bagEarth
1.69237432161344,0.739539867753479,1.29858388834295,bagEarth
1.70119668134355,0.755540947296338,1.32501203470196,bagEarth
1.80658174721771,0.733465744296714,1.36905834611369,bagEarth
1.83031428502845,0.746400842002441,1.41971200181827,bagEarth
1.75400104601649,0.734617969104997,1.33276443204683,bagEarth
1.83575181783749,0.721507653238739,1.38755167805442,bagEarth
1.80056987612839,0.725232422126199,1.36239237891538,bagEarth
