Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
gbm,1.678,2.134,1.884,1.892,0.105,qrnn,1.187,1.453,1.307,1.303,0.053,qrnn,0.644,0.772,0.703,0.704,0.031
xgbTree,1.671,2.136,1.881,1.89,0.107,cubist,1.185,1.458,1.312,1.314,0.058,xgbTree,0.643,0.771,0.709,0.703,0.033
bstTree,1.686,2.141,1.874,1.892,0.104,bstTree,1.245,1.458,1.349,1.352,0.051,bstTree,0.641,0.766,0.708,0.703,0.033
gamboost,1.749,2.154,1.966,1.957,0.102,xgbTree,1.24,1.461,1.35,1.353,0.052,gbm,0.64,0.768,0.709,0.703,0.033
brnn,1.708,2.156,1.932,1.927,0.108,gbm,1.247,1.461,1.354,1.356,0.052,brnn,0.634,0.75,0.693,0.691,0.034
bam,1.708,2.156,1.934,1.934,0.112,treebag,1.228,1.484,1.37,1.366,0.059,treebag,0.631,0.773,0.699,0.698,0.035
gam,1.708,2.156,1.934,1.934,0.112,monmlp,1.259,1.491,1.384,1.375,0.061,monmlp,0.628,0.771,0.703,0.7,0.036
treebag,1.662,2.164,1.907,1.908,0.113,ctree2,1.222,1.496,1.352,1.349,0.056,blackboost,0.628,0.768,0.705,0.7,0.036
qrnn,1.667,2.167,1.915,1.912,0.109,rpart,1.242,1.506,1.372,1.376,0.06,gamboost,0.627,0.748,0.687,0.682,0.034
monmlp,1.667,2.168,1.898,1.9,0.119,rpart1SE,1.242,1.506,1.372,1.376,0.06,rpart,0.627,0.767,0.693,0.693,0.035
earth,1.739,2.168,1.963,1.977,0.11,rpart2,1.242,1.506,1.372,1.376,0.06,rpart1SE,0.627,0.767,0.693,0.693,0.035
gcvEarth,1.739,2.168,1.963,1.977,0.11,blackboost,1.301,1.506,1.398,1.392,0.05,rpart2,0.627,0.767,0.693,0.693,0.035
bagEarthGCV,1.738,2.17,1.96,1.972,0.111,ctree,1.242,1.512,1.363,1.369,0.056,cubist,0.624,0.769,0.698,0.697,0.036
bagEarth,1.737,2.171,1.96,1.972,0.111,M5,1.275,1.512,1.37,1.382,0.066,ctree2,0.622,0.768,0.701,0.697,0.035
blackboost,1.712,2.174,1.915,1.913,0.104,brnn,1.322,1.522,1.398,1.407,0.056,ctree,0.619,0.767,0.696,0.694,0.035
rpart,1.68,2.183,1.938,1.923,0.114,knn,1.298,1.523,1.433,1.428,0.061,gam,0.617,0.756,0.691,0.689,0.035
rpart1SE,1.68,2.183,1.938,1.923,0.114,bam,1.283,1.526,1.407,1.41,0.06,bam,0.617,0.756,0.691,0.689,0.035
rpart2,1.68,2.183,1.938,1.923,0.114,gam,1.283,1.526,1.407,1.41,0.06,gamLoess,0.606,0.735,0.68,0.672,0.036
gamLoess,1.742,2.194,1.981,1.986,0.113,gamboost,1.324,1.535,1.433,1.441,0.058,M5,0.606,0.746,0.691,0.685,0.038
M5,1.756,2.196,1.952,1.954,0.126,earth,1.324,1.543,1.424,1.432,0.059,earth,0.603,0.748,0.673,0.675,0.036
ctree2,1.677,2.206,1.914,1.91,0.115,gcvEarth,1.324,1.543,1.424,1.432,0.059,gcvEarth,0.603,0.748,0.673,0.675,0.036
ctree,1.68,2.214,1.923,1.921,0.115,bagEarthGCV,1.315,1.544,1.425,1.426,0.059,bagEarthGCV,0.602,0.749,0.674,0.677,0.036
cubist,1.682,2.233,1.944,1.933,0.124,bagEarth,1.317,1.545,1.425,1.427,0.059,bagEarth,0.601,0.749,0.673,0.677,0.036
knn,1.777,2.254,2.065,2.028,0.115,gamLoess,1.371,1.599,1.493,1.49,0.061,knn,0.599,0.739,0.655,0.662,0.037
partDSA,2.012,2.478,2.173,2.21,0.129,RRFglobal,1.413,1.666,1.515,1.528,0.057,RRFglobal,0.51,0.661,0.595,0.592,0.035
RRFglobal,2.04,2.572,2.268,2.273,0.109,RRF,1.417,1.668,1.515,1.527,0.057,RRF,0.508,0.658,0.595,0.592,0.035
RRF,2.047,2.581,2.264,2.273,0.109,rf,1.408,1.672,1.515,1.528,0.059,rf,0.505,0.662,0.595,0.592,0.035
rf,2.036,2.589,2.269,2.273,0.111,xgbLinear,1.45,1.681,1.56,1.548,0.059,partDSA,0.502,0.673,0.596,0.596,0.045
xgbLinear,2.173,2.707,2.394,2.382,0.115,qrf,1.492,1.755,1.595,1.595,0.065,xgbLinear,0.476,0.629,0.551,0.564,0.038
qrf,2.257,2.847,2.496,2.475,0.132,partDSA,1.46,1.837,1.647,1.659,0.105,qrf,0.448,0.606,0.545,0.544,0.04
kknn,2.591,3.194,2.761,2.781,0.141,kknn,1.836,2.184,1.99,1.983,0.094,kknn,0.442,0.606,0.544,0.544,0.039
blasso,3.089,3.327,3.193,3.197,0.06,svmLinear,2.595,2.836,2.716,2.731,0.06,BstLm,0.108,0.195,0.155,0.152,0.025
msaenet,3.088,3.328,3.192,3.196,0.06,svmLinear2,2.595,2.836,2.716,2.731,0.06,bayesglm,0.108,0.195,0.155,0.152,0.025
penalized,3.088,3.328,3.192,3.196,0.06,msaenet,2.635,2.919,2.765,2.77,0.065,blasso,0.108,0.195,0.155,0.152,0.025
glmboost,3.088,3.328,3.192,3.196,0.06,penalized,2.635,2.919,2.765,2.77,0.065,blassoAveraged,0.108,0.195,0.155,0.152,0.025
glm,3.088,3.328,3.192,3.196,0.06,bayesglm,2.635,2.919,2.765,2.77,0.065,bridge,0.108,0.195,0.155,0.152,0.025
glmStepAIC,3.088,3.328,3.192,3.196,0.06,glmboost,2.635,2.919,2.765,2.77,0.065,glm,0.108,0.195,0.155,0.152,0.025
lars,3.088,3.328,3.192,3.196,0.06,lars,2.635,2.919,2.765,2.77,0.065,glmStepAIC,0.108,0.195,0.155,0.152,0.025
lars2,3.088,3.328,3.192,3.196,0.06,lars2,2.635,2.919,2.765,2.77,0.065,glmboost,0.108,0.195,0.155,0.152,0.025
lm,3.088,3.328,3.192,3.196,0.06,glm,2.635,2.919,2.765,2.77,0.065,lars,0.108,0.195,0.155,0.152,0.025
lmStepAIC,3.088,3.328,3.192,3.196,0.06,glmStepAIC,2.635,2.919,2.765,2.77,0.065,lars2,0.108,0.195,0.155,0.152,0.025
plsRglm,3.088,3.328,3.192,3.196,0.06,lm,2.635,2.919,2.765,2.77,0.065,lm,0.108,0.195,0.155,0.152,0.025
rlm,3.088,3.328,3.192,3.196,0.06,lmStepAIC,2.635,2.919,2.765,2.77,0.065,lmStepAIC,0.108,0.195,0.155,0.152,0.025
spls,3.088,3.328,3.192,3.196,0.06,plsRglm,2.635,2.919,2.765,2.77,0.065,msaenet,0.108,0.195,0.155,0.152,0.025
bayesglm,3.088,3.328,3.192,3.196,0.06,rlm,2.635,2.919,2.765,2.77,0.065,penalized,0.108,0.195,0.155,0.152,0.025
blassoAveraged,3.089,3.328,3.193,3.197,0.06,spls,2.635,2.919,2.765,2.77,0.065,plsRglm,0.108,0.195,0.155,0.152,0.025
bridge,3.088,3.329,3.192,3.196,0.06,bridge,2.637,2.922,2.768,2.772,0.066,rlm,0.108,0.195,0.155,0.152,0.025
svmLinear3,3.089,3.337,3.216,3.223,0.064,blassoAveraged,2.645,2.931,2.775,2.778,0.067,spls,0.108,0.195,0.155,0.152,0.025
svmLinear,3.129,3.389,3.222,3.229,0.064,blasso,2.645,2.932,2.776,2.778,0.067,svmLinear,0.108,0.195,0.155,0.152,0.025
svmLinear2,3.129,3.389,3.222,3.229,0.064,BstLm,2.663,2.933,2.783,2.793,0.064,svmLinear3,0.108,0.195,0.155,0.152,0.025
BstLm,3.158,3.427,3.263,3.259,0.063,svmLinear3,2.643,2.974,2.825,2.828,0.081,svmLinear2,0.108,0.195,0.155,0.152,0.025
