Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
monmlp,2.04,2.505,2.277,2.292,0.103,qrnn,1.304,1.67,1.478,1.474,0.091,qrnn,0.486,0.64,0.556,0.561,0.041
xgbTree,2.036,2.515,2.253,2.262,0.117,cubist,1.369,1.698,1.525,1.528,0.086,xgbTree,0.475,0.639,0.576,0.575,0.04
gbm,2.068,2.515,2.272,2.276,0.112,monmlp,1.517,1.698,1.588,1.599,0.051,monmlp,0.474,0.632,0.569,0.565,0.035
bstTree,2.048,2.532,2.258,2.275,0.123,bstTree,1.454,1.708,1.587,1.585,0.065,M5,0.473,0.63,0.549,0.552,0.041
blackboost,2.096,2.562,2.313,2.312,0.104,xgbTree,1.463,1.724,1.585,1.583,0.063,gbm,0.467,0.634,0.571,0.571,0.039
brnn,2.176,2.568,2.377,2.374,0.104,ctree,1.456,1.727,1.601,1.587,0.062,brnn,0.464,0.59,0.532,0.533,0.035
gamboost,2.188,2.578,2.41,2.4,0.105,treebag,1.461,1.738,1.592,1.585,0.071,bstTree,0.464,0.644,0.573,0.571,0.043
bam,2.168,2.58,2.369,2.374,0.105,M5,1.478,1.75,1.614,1.606,0.072,blackboost,0.463,0.648,0.57,0.562,0.044
gam,2.169,2.58,2.368,2.373,0.105,gbm,1.524,1.755,1.595,1.606,0.056,gam,0.462,0.589,0.535,0.533,0.035
qrnn,2.03,2.61,2.373,2.363,0.145,ctree2,1.486,1.772,1.594,1.599,0.064,bam,0.461,0.589,0.535,0.533,0.035
rpart2,2.05,2.622,2.324,2.314,0.137,blackboost,1.596,1.773,1.685,1.688,0.049,ctree,0.457,0.639,0.56,0.552,0.043
rpart1SE,2.05,2.622,2.324,2.32,0.138,rpart,1.464,1.777,1.624,1.626,0.075,gamboost,0.449,0.577,0.525,0.523,0.036
rpart,2.071,2.622,2.321,2.324,0.134,rpart2,1.464,1.777,1.598,1.602,0.079,ctree2,0.449,0.627,0.552,0.549,0.044
M5,2.078,2.624,2.32,2.332,0.127,rpart1SE,1.464,1.777,1.597,1.6,0.079,cubist,0.434,0.659,0.551,0.551,0.051
ctree,2.092,2.627,2.319,2.332,0.125,knn,1.488,1.78,1.647,1.649,0.069,rpart,0.433,0.645,0.552,0.554,0.045
treebag,2.054,2.636,2.296,2.308,0.132,bam,1.594,1.794,1.693,1.685,0.051,rpart2,0.433,0.645,0.56,0.558,0.046
