Model,Time1,Time2,Status
superpc,0.00700000000006185,0.000116666666667697,error
svmLinear3,0.00299999999970169,4.99999999950281e-05,error
xgbLinear,0.00199999999995271,3.33333333325451e-05,error
xgbTree,0.00299999999970169,4.99999999950281e-05,error
superpc,0.346999999999753,0.00578333333332921,error
svmLinear3,2669.042,44.4840333333333
svmLinear3,0,0,success
xgbLinear,2672.866,44.5477666666667
xgbLinear,0,0,success
xgbTree,2676,44.6
xgbTree,0,0,success
superpc,0.503000000000156,0.00838333333333594,error
svmLinear3,2748.981,45.81635
svmLinear3,0,0,success
xgbLinear,2789.595,46.49325
xgbLinear,0,0,success
xgbTree,2825.573,47.0928833333333
xgbTree,0,0,success
