Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
knn,0.806,1.391,1.079,1.078,0.195,rf,0.364,0.552,0.441,0.436,0.051,kknn,0.998,1,0.999,0.999,0
xgbLinear,0.747,1.473,0.993,1.044,0.178,RRFglobal,0.37,0.552,0.431,0.435,0.05,RRF,0.998,0.999,0.999,0.999,0
RRFglobal,0.711,1.474,0.956,0.978,0.189,RRF,0.365,0.554,0.434,0.435,0.05,RRFglobal,0.998,0.999,0.999,0.999,0
rf,0.689,1.475,0.978,0.981,0.194,kknn,0.305,0.594,0.384,0.397,0.069,rf,0.998,0.999,0.999,0.999,0
RRF,0.703,1.48,0.943,0.975,0.193,xgbLinear,0.398,0.594,0.476,0.482,0.05,xgbLinear,0.998,0.999,0.999,0.999,0
kknn,0.627,1.483,0.918,0.934,0.208,knn,0.399,0.6,0.48,0.482,0.058,knn,0.998,0.999,0.999,0.999,0
xgbTree,0.754,1.497,1.034,1.073,0.181,xgbTree,0.408,0.605,0.496,0.501,0.05,xgbTree,0.998,0.999,0.999,0.999,0
bstTree,1.103,1.542,1.24,1.299,0.136,qrf,0.416,0.631,0.523,0.531,0.057,bstTree,0.998,0.999,0.998,0.998,0
qrf,0.761,1.723,1.074,1.159,0.225,bstTree,0.64,0.826,0.713,0.722,0.052,qrf,0.997,0.999,0.999,0.999,0.001
M5,1.376,2.096,1.627,1.649,0.192,cubist,0.479,0.888,0.632,0.653,0.103,M5,0.996,0.998,0.997,0.997,0.001
gbm,1.55,2.188,1.842,1.838,0.159,M5,0.786,0.992,0.849,0.864,0.059,cubist,0.995,0.999,0.998,0.998,0.001
cubist,0.868,2.507,1.206,1.336,0.361,gbm,0.925,1.202,1.047,1.047,0.075,gbm,0.995,0.998,0.996,0.997,0.001
blackboost,2.468,3.596,3.055,3.101,0.298,ctree,0.978,1.682,1.286,1.299,0.187,blackboost,0.987,0.995,0.991,0.991,0.002
qrnn,2.825,3.697,3.22,3.199,0.221,qrnn,1.527,1.987,1.748,1.747,0.118,qrnn,0.985,0.993,0.99,0.99,0.002
ctree,2.073,4.048,2.978,2.993,0.537,blackboost,1.62,2.082,1.844,1.84,0.135,ctree,0.983,0.996,0.991,0.991,0.003
ctree2,3.945,5.021,4.275,4.342,0.307,ctree2,2.206,2.832,2.43,2.458,0.164,ctree2,0.975,0.986,0.981,0.981,0.003
brnn,3.436,5.791,3.845,3.928,0.555,brnn,2.439,3.215,2.609,2.64,0.158,brnn,0.969,0.989,0.984,0.984,0.005
monmlp,2.835,5.932,3.372,3.67,0.876,treebag,2.311,3.34,2.694,2.726,0.254,monmlp,0.964,0.992,0.989,0.986,0.008
treebag,3.615,6.395,4.514,4.669,0.692,rpart1SE,2.448,3.723,2.836,2.949,0.363,treebag,0.958,0.987,0.978,0.977,0.007
rpart1SE,4.111,7.681,5.342,5.513,1.121,rpart2,2.448,3.723,2.836,2.949,0.363,rpart1SE,0.945,0.985,0.97,0.968,0.012
rpart2,4.111,7.681,5.342,5.513,1.121,monmlp,1.7,3.778,1.993,2.172,0.488,rpart2,0.945,0.985,0.97,0.968,0.012
rpart,4.111,7.681,5.652,5.857,1.155,rpart,2.448,3.863,3.01,3.115,0.434,rpart,0.945,0.985,0.964,0.964,0.013
partDSA,5.904,8.398,7.122,7.227,0.655,partDSA,3.414,4.408,3.845,3.869,0.26,partDSA,0.928,0.971,0.947,0.947,0.009
bam,11.557,15.04,13.698,13.509,0.87,bagEarthGCV,5.484,7.904,6.842,6.869,0.582,bam,0.783,0.846,0.816,0.814,0.014
gam,11.558,15.04,13.698,13.51,0.87,bagEarth,5.464,7.948,6.822,6.87,0.592,gam,0.783,0.846,0.816,0.814,0.014
bagEarthGCV,11.45,15.169,13.805,13.62,0.929,earth,5.493,8.057,7.096,6.958,0.637,bagEarthGCV,0.779,0.841,0.813,0.812,0.015
bagEarth,11.464,15.18,13.789,13.634,0.928,gcvEarth,5.493,8.057,7.096,6.958,0.637,bagEarth,0.779,0.84,0.812,0.812,0.015
earth,11.536,15.21,13.789,13.661,0.929,bstSm,6.082,8.708,7.603,7.576,0.63,earth,0.779,0.839,0.812,0.81,0.015
gcvEarth,11.536,15.21,13.789,13.661,0.929,gamboost,6.954,9.572,8.518,8.465,0.618,gcvEarth,0.779,0.839,0.812,0.81,0.015
bstSm,11.33,15.398,13.833,13.691,0.993,bam,7.68,9.825,8.584,8.571,0.49,bstSm,0.776,0.839,0.813,0.81,0.015
gamboost,12.226,16.267,14.548,14.534,0.98,gam,7.68,9.826,8.584,8.571,0.49,gamboost,0.75,0.82,0.787,0.786,0.017
gamLoess,14.19,19.319,16.945,16.875,1.274,gamLoess,7.57,10.887,9.29,9.256,0.861,gamLoess,0.659,0.772,0.721,0.722,0.029
penalized,25.604,31.115,28.684,28.644,1.352,svmLinear,12.151,17.184,14.91,14.81,1.303,glm.nb,0.178,0.274,0.226,0.224,0.027
bayesglm,25.604,31.115,28.684,28.644,1.352,svmLinear2,12.152,17.184,14.91,14.81,1.303,BstLm,0.117,0.213,0.164,0.162,0.026
glmboost,25.604,31.115,28.684,28.644,1.352,avNNet,13.394,18.715,16.31,16.115,1.384,bayesglm,0.117,0.213,0.164,0.162,0.026
glm,25.604,31.115,28.684,28.644,1.352,nnet,13.394,18.715,16.31,16.115,1.384,blasso,0.117,0.213,0.164,0.162,0.026
glmStepAIC,25.604,31.115,28.684,28.644,1.352,nnls,13.504,18.89,16.339,16.219,1.404,blassoAveraged,0.117,0.213,0.164,0.162,0.026
lm,25.604,31.115,28.684,28.644,1.352,rlm,14.599,19.194,17.478,17.515,0.947,bridge,0.117,0.213,0.164,0.162,0.026
lmStepAIC,25.604,31.115,28.684,28.644,1.352,glm.nb,17.329,20.973,19.403,19.488,0.792,glm,0.117,0.213,0.164,0.162,0.026
plsRglm,25.604,31.115,28.684,28.644,1.352,blassoAveraged,19.339,23.092,21.495,21.514,0.778,glmStepAIC,0.117,0.213,0.164,0.162,0.026
lars,25.604,31.115,28.684,28.644,1.352,blasso,19.35,23.107,21.479,21.517,0.78,lars,0.117,0.213,0.164,0.162,0.026
lars2,25.604,31.115,28.684,28.644,1.352,msaenet,19.443,23.186,21.572,21.622,0.772,lars2,0.117,0.213,0.164,0.162,0.026
spls,25.604,31.115,28.684,28.644,1.352,bridge,19.454,23.21,21.62,21.643,0.776,msaenet,0.117,0.213,0.164,0.162,0.026
svmLinear3,25.597,31.13,28.684,28.646,1.35,svmLinear3,19.462,23.225,21.612,21.667,0.769,penalized,0.117,0.213,0.164,0.162,0.026
msaenet,25.596,31.131,28.683,28.644,1.362,dnn,15.917,23.255,19.492,19.623,1.719,rlm,0.117,0.213,0.164,0.162,0.026
bridge,25.597,31.134,28.683,28.648,1.36,penalized,19.5,23.258,21.643,21.682,0.776,spls,0.117,0.213,0.164,0.162,0.026
blassoAveraged,25.584,31.179,28.684,28.658,1.387,glm,19.5,23.259,21.643,21.683,0.776,svmLinear3,0.117,0.213,0.164,0.162,0.026
blasso,25.584,31.18,28.684,28.658,1.388,glmStepAIC,19.5,23.259,21.643,21.683,0.776,glmboost,0.117,0.213,0.164,0.162,0.026
glm.nb,24.998,31.247,28.274,28.284,1.709,lars,19.5,23.259,21.643,21.683,0.776,lm,0.117,0.213,0.164,0.162,0.026
BstLm,27.051,32.442,30.182,30.127,1.193,lars2,19.5,23.259,21.643,21.683,0.776,lmStepAIC,0.117,0.213,0.164,0.162,0.026
dnn,27.673,34.29,31.314,31.228,1.782,lm,19.5,23.259,21.643,21.683,0.776,plsRglm,0.117,0.213,0.164,0.162,0.026
rlm,27.191,37.368,32.315,32.528,2.841,lmStepAIC,19.5,23.259,21.643,21.683,0.776,svmLinear,0.117,0.213,0.164,0.162,0.026
mlpML,30.065,37.958,33.48,33.403,2.441,plsRglm,19.5,23.259,21.643,21.683,0.776,svmLinear2,0.117,0.213,0.164,0.162,0.026
mlpWeightDecayML,28.985,37.964,32.697,33.062,2.36,spls,19.5,23.259,21.643,21.683,0.776,dnn,0,0.012,0.001,0.002,0.004
avNNet,30.027,38.373,34.958,34.605,2.2,glmboost,19.5,23.259,21.643,21.683,0.776,mlpML,0,0.033,0.004,0.007,0.008
nnet,30.027,38.373,34.958,34.605,2.2,bayesglm,19.5,23.259,21.643,21.683,0.776,avNNet,NA,NA,NA,NA,NA
mlpWeightDecay,27.324,38.604,32.826,33.085,2.357,BstLm,20.224,24.516,22.018,22.281,0.996,mlp,NA,NA,NA,NA,NA
svmLinear2,29.812,38.782,34.969,34.573,2.478,mlpWeightDecayML,10.572,27.958,16.339,17.745,4.805,mlpWeightDecay,NA,NA,NA,NA,NA
svmLinear,29.813,38.782,34.968,34.575,2.478,mlpWeightDecay,12.02,28.324,17.24,17.736,3.684,mlpWeightDecayML,NA,NA,NA,NA,NA
nnls,30.457,38.838,35.421,35.056,2.212,mlpML,10.244,29.009,14.836,16.256,4.235,nnet,NA,NA,NA,NA,NA
mlp,29.935,41.774,32.554,33.268,2.921,mlp,10.537,40.28,16.796,18.627,6.718,nnls,NA,NA,NA,NA,NA
