Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
kknn,0.548,1.149,0.87,0.844,0.134,kknn,0.287,0.48,0.386,0.39,0.053,knn,0.999,1,0.999,0.999,0
xgbLinear,0.739,1.182,0.925,0.948,0.118,knn,0.383,0.531,0.449,0.463,0.042,kknn,0.998,1,0.999,0.999,0
knn,0.693,1.187,0.968,0.948,0.13,RRFglobal,0.342,0.549,0.431,0.431,0.05,RRFglobal,0.998,1,0.999,0.999,0
xgbTree,0.763,1.218,0.95,0.978,0.115,RRF,0.342,0.55,0.431,0.431,0.049,rf,0.998,1,0.999,0.999,0
RRFglobal,0.637,1.326,0.885,0.889,0.162,rf,0.338,0.552,0.431,0.43,0.051,RRF,0.998,1,0.999,0.999,0
qrf,0.779,1.342,1.053,1.071,0.144,xgbLinear,0.386,0.584,0.474,0.476,0.043,xgbLinear,0.998,0.999,0.999,0.999,0
rf,0.626,1.345,0.903,0.891,0.165,xgbTree,0.405,0.612,0.501,0.499,0.042,xgbTree,0.998,0.999,0.999,0.999,0
RRF,0.629,1.351,0.887,0.892,0.165,qrf,0.426,0.641,0.521,0.526,0.048,qrf,0.998,0.999,0.999,0.999,0
bstTree,1.025,1.411,1.249,1.247,0.083,cubist,0.516,0.754,0.64,0.638,0.055,bstTree,0.998,0.999,0.998,0.998,0
cubist,0.908,1.576,1.207,1.2,0.149,bstTree,0.664,0.845,0.779,0.775,0.04,cubist,0.997,0.999,0.999,0.998,0
M5,1.262,1.969,1.585,1.596,0.155,M5,0.799,1.051,0.907,0.916,0.065,M5,0.996,0.998,0.997,0.997,0.001
gbm,1.556,2.08,1.756,1.767,0.119,gbm,0.999,1.219,1.113,1.099,0.058,gbm,0.996,0.998,0.997,0.997,0.001
blackboost,2.512,2.96,2.689,2.699,0.128,ctree,0.963,1.516,1.237,1.245,0.137,blackboost,0.99,0.994,0.993,0.993,0.001
ctree,1.7,3.621,2.621,2.628,0.458,blackboost,1.728,1.988,1.829,1.83,0.074,ctree,0.988,0.997,0.993,0.993,0.002
qrnn,2.491,3.859,3.013,3.035,0.286,qrnn,1.526,2.284,1.905,1.911,0.177,qrnn,0.985,0.994,0.991,0.99,0.002
monmlp,2.752,4.523,3.476,3.409,0.475,treebag,2.371,3.125,2.62,2.622,0.18,monmlp,0.979,0.992,0.988,0.987,0.004
ctree2,3.663,5.257,4.167,4.186,0.402,ctree2,2.435,3.143,2.698,2.714,0.167,treebag,0.972,0.988,0.984,0.983,0.004
treebag,3.504,5.373,3.882,3.993,0.504,monmlp,1.925,3.146,2.226,2.292,0.319,ctree2,0.971,0.986,0.982,0.981,0.004
rpart1SE,3.873,6.823,4.421,4.611,0.785,rpart1SE,2.508,3.522,2.845,2.864,0.239,rpart1SE,0.956,0.985,0.979,0.977,0.008
rpart2,3.873,6.823,4.421,4.611,0.785,rpart2,2.508,3.522,2.845,2.864,0.239,rpart2,0.956,0.985,0.979,0.977,0.008
brnn,4.031,6.967,4.502,4.941,0.913,rpart,2.599,4.301,3.051,3.263,0.58,brnn,0.954,0.983,0.977,0.973,0.009
rpart,3.873,7.479,5.005,5.405,1.258,brnn,2.817,4.369,3.178,3.32,0.418,rpart,0.947,0.985,0.975,0.967,0.015
partDSA,7.411,10.852,8.199,8.363,0.668,partDSA,5.168,6.996,6.668,6.422,0.536,partDSA,0.881,0.945,0.929,0.925,0.013
bam,8.755,11.775,10.356,10.335,0.732,bagEarthGCV,5.099,7.018,6.237,6.164,0.435,bam,0.869,0.904,0.886,0.887,0.008
gam,8.835,11.775,10.347,10.329,0.735,bagEarth,5.055,7.04,6.232,6.184,0.443,gam,0.869,0.903,0.886,0.887,0.008
bagEarthGCV,9.658,13.154,11.623,11.579,0.926,earth,4.816,7.298,6.321,6.204,0.542,bstSm,0.837,0.883,0.865,0.864,0.012
bstSm,9.413,13.175,11.396,11.367,0.974,gcvEarth,4.816,7.298,6.321,6.194,0.559,bagEarthGCV,0.833,0.877,0.859,0.858,0.013
bagEarth,9.656,13.187,11.701,11.602,0.93,bstSm,5.381,7.396,6.449,6.481,0.481,bagEarth,0.831,0.876,0.859,0.858,0.012
earth,9.549,13.246,11.653,11.608,0.939,bam,6.403,8.132,7.16,7.181,0.398,gcvEarth,0.83,0.876,0.858,0.858,0.012
gcvEarth,9.549,13.246,11.653,11.602,0.939,gam,6.589,8.132,7.16,7.166,0.39,earth,0.83,0.876,0.858,0.858,0.012
gamboost,10.372,13.964,12.257,12.251,0.94,gamboost,6.155,8.139,7.216,7.264,0.471,gamboost,0.809,0.862,0.843,0.841,0.012
gamLoess,12.15,16.73,14.184,14.342,1.213,gamLoess,6.548,9.406,7.736,7.969,0.728,gamLoess,0.736,0.82,0.796,0.791,0.02
bayesglm,24.757,30.001,27.492,27.348,1.254,svmLinear,12.577,18.263,15.739,15.619,1.384,glm.nb,0.225,0.329,0.281,0.28,0.028
glmboost,24.757,30.001,27.492,27.348,1.254,svmLinear2,12.58,18.263,15.739,15.619,1.384,svmLinear2,0.149,0.252,0.202,0.204,0.028
glm,24.757,30.001,27.492,27.348,1.254,avNNet,13.9,19.982,17.036,16.982,1.442,bayesglm,0.149,0.252,0.202,0.204,0.028
glmStepAIC,24.757,30.001,27.492,27.348,1.254,nnet,13.9,19.982,17.036,16.982,1.442,blasso,0.149,0.252,0.202,0.204,0.028
lars,24.757,30.001,27.492,27.348,1.254,glm.nb,16.819,20.016,18.644,18.68,0.717,svmLinear3,0.149,0.252,0.202,0.204,0.028
lars2,24.757,30.001,27.492,27.348,1.254,nnls,14.093,20.294,17.286,17.217,1.46,BstLm,0.149,0.252,0.202,0.204,0.028
lm,24.757,30.001,27.492,27.348,1.254,rlm,17.868,21.472,20.039,19.983,0.809,blassoAveraged,0.149,0.252,0.202,0.204,0.028
lmStepAIC,24.757,30.001,27.492,27.348,1.254,mlpWeightDecay,12.928,21.924,16.158,16.71,2.274,bridge,0.149,0.252,0.202,0.204,0.028
plsRglm,24.757,30.001,27.492,27.348,1.254,blassoAveraged,19.036,21.969,20.749,20.865,0.629,glm,0.149,0.252,0.202,0.204,0.028
spls,24.757,30.001,27.492,27.348,1.254,blasso,19.07,21.97,20.788,20.87,0.628,glmStepAIC,0.149,0.252,0.202,0.204,0.028
